SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Drawing Range
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,14,BOLT 7: Angle [°],1,360,23,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,15,BOLT 7: Torque [Nm],89,100,94.7,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,16,BOLT 8: Angle [°],1,360,23,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,17,BOLT 8: Torque [Nm],89,100,95.1,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,18,BOLT 9: Angle [°],1,360,26,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,19,BOLT 9: Torque [Nm],89,100,95,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,20,BOLT 10: Angle [°],1,360,23,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,21,BOLT 10: Torque [Nm],89,100,94.8,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,22,BOLT 11: Angle [°],1,360,24,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,23,BOLT 11: Torque [Nm],89,100,95,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,24,BOLT 12: Angle [°],1,360,25,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,25,BOLT 12: Torque [Nm],89,100,95.2,OK,OK,91-123
PCMRS0700115,P130-135 BRAKE COVER OIL SEAL BOLTS,0,29,1,Bolts tightened,3,3,3,OK,,
PCMRS0700115,P130-135 BRAKE COVER OIL SEAL BOLTS,0,29,2,BOLT 1: Angle [°],10,360,66,OK,,
PCMRS0700115,P130-135 BRAKE COVER OIL SEAL BOLTS,0,29,3,BOLT 1: Torque [Nm],9,11,10.04,OK,OK,8 to 10
PCMRS0700115,P130-135 BRAKE COVER OIL SEAL BOLTS,0,29,4,BOLT 2: Angle [°],10,360,36,OK,,
PCMRS0700115,P130-135 BRAKE COVER OIL SEAL BOLTS,0,29,5,BOLT 2: Torque [Nm],9,11,10.12,OK,OK,8 to 10
PCMRS0700115,P130-135 BRAKE COVER OIL SEAL BOLTS,0,29,6,BOLT 3: Angle [°],10,360,43,OK,,
PCMRS0700115,P130-135 BRAKE COVER OIL SEAL BOLTS,0,29,7,BOLT 3: Torque [Nm],9,11,10.09,OK,OK,8 to 10
PCMRS0700115,P130-135 DIFF COVER OIL SEAL BOLTS,0,31,1,Bolts tightened,3,3,3,OK,,
PCMRS0700115,P130-135 DIFF COVER OIL SEAL BOLTS,0,31,2,BOLT 1: Angle [°],10,360,33,OK,,
PCMRS0700115,P130-135 DIFF COVER OIL SEAL BOLTS,0,31,3,BOLT 1: Torque [Nm],9,11,10.09,OK,OK,8 to 10
PCMRS0700115,P130-135 DIFF COVER OIL SEAL BOLTS,0,31,4,BOLT 2: Angle [°],10,360,32,OK,,
PCMRS0700115,P130-135 DIFF COVER OIL SEAL BOLTS,0,31,5,BOLT 2: Torque [Nm],9,11,10.05,OK,OK,8 to 10
PCMRS0700115,P130-135 DIFF COVER OIL SEAL BOLTS,0,31,6,BOLT 3: Angle [°],10,360,28,OK,,
PCMRS0700115,P130-135 DIFF COVER OIL SEAL BOLTS,0,31,7,BOLT 3: Torque [Nm],9,11,10.1,OK,OK,8 to 10
