SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Drawing Range
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,2,2,1,Initial rolling torque (dualcone) [Nm],11,19,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,2,2,2,Final rolling torque [Nm],24,31,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,2,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,2,2,1,Initial rolling torque (dualcone) [Nm],11,19,13.4,OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,2,2,2,Final rolling torque [Nm],24,31,26,OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,2,2,3,Number of attempts,1,18,5,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,2,3,1,Bolts tightened,4,4,4,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,2,3,2,BOLT 1: Angle [°],1,360,196,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,2,3,3,BOLT 1: Torque [Nm],32.5,43.9,38.4,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,2,3,4,BOLT 2: Angle [°],1,360,130,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,2,3,5,BOLT 2: Torque [Nm],32.5,43.9,38.3,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,2,3,6,BOLT 3: Angle [°],1,360,227,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,2,3,7,BOLT 3: Torque [Nm],32.5,43.9,39.2,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,2,3,8,BOLT 4: Angle [°],1,360,260,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT,2,3,9,BOLT 4: Torque [Nm],32.5,43.9,38.8,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,2,4,1,Bolts tightened,4,4,4,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,2,4,2,BOLT 1: Angle [°],1,360,10,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,2,4,3,BOLT 1: Torque [Nm],32.5,43.9,38.4,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,2,4,4,BOLT 2: Angle [°],1,360,64,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,2,4,5,BOLT 2: Torque [Nm],32.5,43.9,38.5,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,2,4,6,BOLT 3: Angle [°],1,360,13,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,2,4,7,BOLT 3: Torque [Nm],32.5,43.9,39,OK,OK,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,2,4,8,BOLT 4: Angle [°],1,360,22,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,2,4,9,BOLT 4: Torque [Nm],32.5,43.9,38.3,OK,OK,
PCMRS0700115,4900.92010 P520 PLUGS,2,5,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.92010 P520 PLUGS,2,5,2,BOLT 1: Angle [°],1,360,15,OK,,
PCMRS0700115,4900.92010 P520 PLUGS,2,5,3,BOLT 1: Torque [Nm],105,110,107,OK,NOT OK,100 - 110
PCMRS0700115,4900.92010 P520 LEAKAGE TEST,2,8,1,Result [0 = Stopped; 1 = Excuted],1,1,1,OK,,
PCMRS0700115,4900.92010 P520 TECNA GET RESULTS,2,9,1,Charged pressure [bar],0.38,0.42,0.40187,OK,,
PCMRS0700115,4900.92010 P520 TECNA GET RESULTS,2,9,2,Leakage [mbar],-8,8,0.567,OK,,
